Metric,Value
Accuracy,0.5
Precision,0.0
Recall,0.0
F1 Score,0.0
APCER,1.0
BPCER,0.0
ACER,0.5
ROC AUC,0.19444444444444445
EER,0.7222222222222222
Threshold (BPCER≈3%),1.0
